origin_file_name,category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20200915_TOMATO_Imprint_Organic_N_3_1.RAW,1,161496300.0,423328300.0,149664900.0,91415900.0,78893800.0,74324400.0,135012000.0,106250700.0,55310100.0,136908000.0,21375000.0,19696000.0,26895000.0,18141000.0,6463000.0,21810000.0,55771000.0,9691000.0,27640000.0,1142000.0,700000.0,943000.0,1015000.0,831000.0,0.0,0.0,0.0,0.0,1842000.0,511000.0,0.0,0.0,0.0,0.0,233000.0,0.0,10727000.0,727000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_2.RAW,1,211961300.0,882112000.0,239720000.0,115067000.0,99763700.0,85097000.0,159615000.0,140192000.0,48727000.0,133632000.0,25889000.0,21563000.0,28962000.0,18368000.0,6586000.0,27087000.0,66023000.0,11899000.0,29609000.0,859000.0,988000.0,928000.0,1271000.0,930000.0,0.0,0.0,0.0,0.0,1537000.0,454000.0,0.0,0.0,0.0,0.0,273000.0,0.0,11030000.0,789000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_3.RAW,1,219230100.0,1052080000.0,269691800.0,120564900.0,103157000.0,85840700.0,161853000.0,158314000.0,49579000.0,130959000.0,27117000.0,21487000.0,29280000.0,18695000.0,6518000.0,28246000.0,72164000.0,12165000.0,30393000.0,1102000.0,638000.0,941000.0,1389000.0,1007000.0,0.0,0.0,0.0,0.0,1422000.0,297000.0,0.0,0.0,0.0,0.0,366000.0,0.0,11025000.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_4.RAW,1,228010000.0,1187663000.0,301640500.0,126022100.0,107330000.0,89990700.0,166651000.0,176664000.0,52737000.0,134314000.0,28062000.0,22451000.0,29942000.0,18519000.0,6355000.0,29541000.0,75448000.0,12683000.0,31291000.0,726000.0,245000.0,1353000.0,1603000.0,1030000.0,0.0,0.0,0.0,0.0,1648000.0,268000.0,0.0,0.0,0.0,0.0,308000.0,0.0,11230000.0,843000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_5.RAW,1,224812800.0,1206853900.0,311242000.0,128761100.0,108989700.0,90095000.0,168658600.0,192070000.0,54194000.0,137498000.0,28894000.0,22902000.0,29817000.0,18804000.0,6961000.0,30569000.0,77388000.0,12724000.0,32977000.0,1019000.0,444000.0,1449000.0,1723000.0,876000.0,0.0,0.0,0.0,0.0,1602000.0,313000.0,0.0,0.0,0.0,0.0,308000.0,0.0,11227000.0,802000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_6.RAW,1,229432000.0,1237520800.0,313905800.0,127132200.0,105999000.0,89014000.0,167267000.0,197455000.0,54020000.0,133315000.0,28160000.0,23122000.0,30212000.0,18796000.0,7033000.0,29809000.0,76553000.0,12940000.0,31159000.0,1297000.0,953000.0,805000.0,1707000.0,788000.0,0.0,0.0,0.0,0.0,1677000.0,588000.0,0.0,0.0,0.0,0.0,317000.0,0.0,11865000.0,809000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_7.RAW,1,229702000.0,1286793900.0,327656700.0,131295000.0,108706000.0,90827000.0,170060700.0,209294000.0,55906000.0,136795000.0,28893000.0,22939000.0,30727000.0,19317000.0,6946000.0,30394000.0,77289000.0,13173000.0,32480000.0,1073000.0,766000.0,1375000.0,1815000.0,866000.0,0.0,0.0,0.0,0.0,1399000.0,555000.0,0.0,0.0,0.0,0.0,398000.0,0.0,11108000.0,841000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_8.RAW,1,226435600.0,1283144000.0,321713600.0,130135000.0,107062400.0,89299000.0,170288000.0,217868000.0,57226000.0,136098000.0,29313000.0,23595600.0,30559000.0,19715000.0,6928000.0,30706000.0,77469000.0,13249000.0,33007000.0,1075000.0,980000.0,1117000.0,1908000.0,1088000.0,0.0,0.0,0.0,0.0,1387000.0,291000.0,0.0,0.0,0.0,0.0,312000.0,0.0,11174000.0,865000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_9.RAW,1,233676900.0,1319960300.0,334318000.0,131688000.0,108286000.0,90427000.0,169256000.0,221907000.0,57260000.0,135639000.0,28727000.0,22808000.0,30401000.0,19426000.0,6801000.0,30194000.0,76872000.0,13243000.0,29688000.0,882000.0,707000.0,1456000.0,1689000.0,811000.0,0.0,0.0,0.0,0.0,1731000.0,614000.0,0.0,0.0,0.0,0.0,287000.0,0.0,10639000.0,771000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200915_TOMATO_Imprint_Organic_N_3_10.RAW,1,230919400.0,1285054800.0,324686900.0,130230000.0,109672000.0,90853000.0,169505100.0,217082000.0,56937000.0,137270000.0,29979000.0,23633000.0,30238000.0,18312000.0,6890000.0,30032000.0,76996000.0,13553000.0,30878000.0,1145000.0,767000.0,1108000.0,1831000.0,805000.0,0.0,0.0,0.0,0.0,1412000.0,313000.0,0.0,0.0,0.0,0.0,286000.0,0.0,10934000.0,797000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
